iter	RMSE
0	13.86811882
1	13.00407958
2	12.20217811
3	11.47692148
4	10.83651115
5	10.3617716
6	9.875895295
7	9.456824851
8	9.023996856
9	8.665525233
10	8.281750925
11	7.971008768
12	7.730818989
13	7.501080727
14	7.2532424
15	7.021893375
16	6.858608103
17	6.70409695
18	6.542689684
19	6.420236392
20	6.309856152
21	6.221921983
22	6.1127092
23	6.031851421
24	5.940969184
25	5.862825561
26	5.806275166
27	5.743846957
28	5.700043143
29	5.65129537
30	5.612501676
31	5.569142899
32	5.528615921
33	5.495490563
34	5.45853224
35	5.429982413
36	5.401264834
37	5.384220943
38	5.366856904
39	5.340140065
40	5.32225411
41	5.303039682
42	5.283132111
43	5.272695691
44	5.249771398
45	5.226731474
46	5.206731746
47	5.19085665
48	5.175071764
49	5.164960829
50	5.144319386
51	5.131291562
52	5.125406539
53	5.122255334
54	5.110323686
55	5.087098596
56	5.073238853
57	5.065181827
58	5.05503944
59	5.047187608
60	5.045192257
61	5.031093789
62	5.016560765
63	5.0004919
64	4.98917476
65	4.972588523
66	4.971640873
67	4.95721763
68	4.948365015
69	4.941323612
70	4.924439839
71	4.911930139
72	4.903829042
73	4.886703768
74	4.876022367
75	4.863906245
76	4.859022296
77	4.850691079
78	4.841844588
79	4.830421985
80	4.825891857
81	4.819224508
82	4.810626967
83	4.797193348
84	4.787816368
85	4.770202184
86	4.76175981
87	4.749233973
88	4.736424133
89	4.727789344
90	4.72016523
91	4.711803074
92	4.698682334
93	4.686316424
94	4.679781055
95	4.668761813
96	4.659791559
97	4.646957723
98	4.641703021
99	4.625283971
